Time_relative,compass
28.909,5.292755
28.928,6.6159973
28.949,6.791687
28.971,6.3670654
28.988,5.5437317
29.009,5.0043335
29.028,5.3457336
29.051,5.3556824
29.068,5.915283
29.089,6.7241516
29.109,6.7969055
29.131,6.406189
29.149,6.457855
29.169,6.1986694
29.189,5.6271057
29.211,5.893799
29.229,6.3564453
29.249,7.105957
29.273,6.4420166
29.291,6.3981323
29.31,5.864441
29.329,6.0213013
29.357,6.920227
29.37,6.144745
29.39,6.722687
29.409,6.7506104
29.429,6.8334045
29.449,6.510376
29.469,6.5938416
29.489,6.98172
29.509,6.889282
29.529,6.9033203
29.549,7.5782776
29.569,6.716095
29.588,6.7106934
29.609,6.458191
29.629,7.074951
29.653,7.2147217
29.669,7.2316895
29.688,6.5489197
29.709,6.5000916
29.729,6.382019
29.749,6.3837585
29.769,6.673767
29.789,7.3856506
29.809,6.836548
29.829,7.0110474
29.849,6.752289
29.871,6.097412
29.892,5.809021
29.909,6.118042
29.929,6.0448303
29.956,6.3432007
29.972,6.449707
29.99,6.5637207
30.015,7.3215027
30.029,6.390503
30.048,6.392517
30.069,5.809326
30.089,5.881653
30.111,6.9196167
30.129,7.049103
30.15,7.726288
30.169,7.198395
30.193,6.9119873
30.209,7.0267334
30.229,6.6517944
30.248,6.2385254
30.272,6.9694824
30.289,7.423584
30.309,7.1176453
30.328,7.9050293
30.35,7.0633545
30.369,6.6893616
30.391,7.0533447
30.408,7.570862
30.431,7.496002
30.448,7.8923035
30.469,7.251648
30.488,6.8094177
30.509,7.2917175
30.528,8.380981
30.548,8.200806
30.569,8.012848
30.591,8.463135
